Scotland's Census 2011 - National Records of Scotland
Table KS613SC - National Statistics Socio-economic Classification (NS-SeC) - Females
All females aged 16 to 74

,All females aged 16 to 74,"1. Higher managerial, administrative and professional occupations: Total","1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: Total,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students,
Scotland,"2,030,569","124,362","21,313","103,049","457,188","373,464","89,479","89,379","392,140","210,450","102,667","72,449","30,218","191,440"
Aberdeen City,"87,278","7,012",929,"6,083","18,787","15,589","2,680","3,625","14,586","8,154","3,000","2,131",869,"13,845"
Aberdeenshire,"94,100","5,907","1,120","4,787","22,664","17,741","6,245","4,266","19,206","9,425","2,572","1,753",819,"6,074"
Angus,"43,301","2,075",426,"1,649","10,806","7,736","2,489","2,071","8,487","4,873","1,834","1,243",591,"2,930"
Argyll & Bute,"32,863","1,769",414,"1,355","8,248","5,614","2,868","1,691","6,597","3,071","1,185",752,433,"1,820"
Clackmannanshire,"19,713",927,192,735,"4,293","3,556",789,978,"4,131","2,556","1,152",762,390,"1,331"
Dumfries & Galloway,"56,887","2,278",479,"1,799","12,370","9,448","4,296","2,952","13,650","6,240","2,527","1,726",801,"3,126"
Dundee City,"57,480","2,884",396,"2,488","11,576","9,555","1,522","2,311","10,116","6,491","3,530","2,524","1,006","9,495"
East Ayrshire,"47,169","1,784",365,"1,419","9,743","8,412","2,127","2,266","10,141","6,305","2,913","1,993",920,"3,478"
East Dunbartonshire,"39,865","3,803",549,"3,254","12,049","8,644","1,543","1,213","5,844","2,092","1,189",807,382,"3,488"
East Lothian,"37,725","2,383",432,"1,951","9,142","7,555","2,064","1,546","7,420","3,333","1,327",869,458,"2,955"
East Renfrewshire,"33,710","3,358",542,"2,816","9,827","7,037","1,508",978,"4,898","1,649","1,299",982,317,"3,156"
"Edinburgh, City of","187,705","21,368","2,710","18,658","45,845","31,748","7,118","6,094","24,479","13,432","8,173","6,130","2,043","29,448"
Eilean Siar,"9,988",413,86,327,"2,580","1,708",559,492,"2,336","1,050",286,174,112,564
Falkirk,"59,214","2,792",581,"2,211","12,953","12,218","2,337","2,681","12,650","7,110","2,787","1,819",968,"3,686"
Fife,"139,494","6,848","1,378","5,470","30,406","25,344","6,091","6,627","29,134","14,763","6,953","4,572","2,381","13,328"
Glasgow City,"234,448","15,336","2,007","13,329","44,264","36,440","5,250","9,040","42,004","27,840","21,798","17,161","4,637","32,476"
Highland,"87,171","4,475",815,"3,660","21,016","14,812","6,515","4,970","19,297","8,385","3,132","2,064","1,068","4,569"
Inverclyde,"31,491","1,367",255,"1,112","6,446","5,929",832,"1,381","6,919","4,239","1,771","1,295",476,"2,607"
Midlothian,"31,752","1,768",325,"1,443","6,690","7,202","1,317","1,375","6,656","3,437","1,317",899,418,"1,990"
Moray,"34,395","1,290",334,956,"7,294","5,820","2,169","1,919","8,331","4,228","1,233",816,417,"2,111"
North Ayrshire,"53,398","2,010",440,"1,570","10,913","9,648","2,433","2,806","11,631","6,425","3,522","2,217","1,305","4,010"
North Lanarkshire,"129,392","5,291","1,130","4,161","26,699","27,379","3,850","5,816","27,706","15,651","7,768","5,260","2,508","9,232"
Orkney Islands,"8,012",390,84,306,"1,813","1,182",928,466,"1,881",743,211,145,66,398
Perth & Kinross,"54,590","3,693",621,"3,072","14,508","9,873","3,828","2,697","10,173","4,881","1,645","1,141",504,"3,292"
Renfrewshire,"67,529","3,680",774,"2,906","15,689","14,813","1,873","2,952","12,633","6,949","3,365","2,362","1,003","5,575"
Scottish Borders,"42,807","2,380",506,"1,874","10,208","6,950","3,380","1,946","8,759","4,953","1,524","1,002",522,"2,707"
Shetland Islands,"8,272",356,85,271,"1,907","1,334",468,545,"2,261",877,150,103,47,374
South Ayrshire,"43,176","2,103",449,"1,654","10,650","7,665","2,320","2,134","8,984","4,185","2,074","1,405",669,"3,061"
South Lanarkshire,"120,816","6,798","1,357","5,441","28,279","25,143","4,633","5,291","24,130","12,281","5,700","3,815","1,885","8,561"
Stirling,"34,991","2,743",448,"2,295","8,519","5,389","2,042","1,362","5,676","3,023","1,483","1,042",441,"4,754"
West Dunbartonshire,"35,373","1,222",300,922,"7,159","7,516",924,"1,711","7,977","4,018","2,235","1,534",701,"2,611"
West Lothian,"66,464","3,859",784,"3,075","13,845","14,464","2,481","3,177","13,447","7,791","3,012","1,951","1,061","4,388"

Crown copyright 2013
"For further information on variables, see www.scotlandscensus.gov.uk/variables"
"In order to protect against disclosure of personal information, some records have been swapped between different geographic areas. Some cell values will be affected, particularly small values at the most detailed geographies."
